الخدمة,التصنيف الرئيسي (Context),التصنيف الفرعي (Benefit Item)
الخدمه,أخرى,غير مصنف
WE-001 جهاز التنفس الاصطناعي,داخل المستشفى (IP),جراحات وإقامة
WE-002 تركيب انبوب التنفس الاصطناعي,داخل المستشفى (IP),جراحات وإقامة
WE-003 إنعاش القلب والرئتين,داخل المستشفى (IP),جراحات وإقامة
WE-004 جهاز ضخ الأدوية,داخل المستشفى (IP),جراحات وإقامة
WE-005 علاج الشفط,داخل المستشفى (IP),جراحات وإقامة
WE-007 جلسة علاج طبيعي,أخرى,غير مصنف
WE-008 صورة تلفزيون بالجهاز المتنقل,خارج المستشفى (OP),أشعة تخصصية (MRI/CT)
WE-009 تركيب قسطرة مركزية,داخل المستشفى (IP),جراحات وإقامة
WE-011 تركيب انبوب صدري,أخرى,غير مصنف
WE-012 ازالة انبوب صدري,أخرى,غير مصنف
WE-013 صورة أشعة بالجهاز المتنقل,خارج المستشفى (OP),أشعة تخصصية (MRI/CT)
WE-014 صورة ايكو بالجهاز المتنقل,داخل المستشفى (IP),جراحات وإقامة
WE-015 غسيل معدة,داخل المستشفى (IP),جراحات وإقامة
WE-016 أبرة بدون ألم,داخل المستشفى (IP),جراحات وإقامة
WE-017 تركيب NGT,داخل المستشفى (IP),جراحات وإقامة
WE-018 تركيب قسطرة بولية,داخل المستشفى (IP),جراحات وإقامة
WE-019 تركيب قسطرة بولية فوق العانة suprapubic catheter,داخل المستشفى (IP),جراحات وإقامة
WE-020 نقل دم,داخل المستشفى (IP),جراحات وإقامة
WE-021 سحب وشفط سوائل,داخل المستشفى (IP),جراحات وإقامة
WE-022 سحب السائل النخاعي العلاجي C S F aspiration,داخل المستشفى (IP),جراحات وإقامة
WE-023 سحب مفصلي,داخل المستشفى (IP),جراحات وإقامة
WE-024 جبس مقوس,أخرى,غير مصنف
WE-025 سحب السائل البريتوني من البطن او الصدر,داخل المستشفى (IP),جراحات وإقامة
WE-026 سحب / خزعة النخاع ( LP )  Lumbar puncture,داخل المستشفى (IP),جراحات وإقامة
WE-027 سحب علاجي للأوردة والشرايين,داخل المستشفى (IP),جراحات وإقامة
WE-028 حقنة علاجية باليد او الركبة,خارج المستشفى (OP),كشوفات خارجية (OP)
WE-030 تطهير بالحقنة الشرجية,داخل المستشفى (IP),جراحات وإقامة
WE-033 تحليل غازات الدم,داخل المستشفى (IP),جراحات وإقامة
WE-034 سحب سوائل من منطقة القلب,داخل المستشفى (IP),جراحات وإقامة
WE-035 تركيب منظم قلب مؤقت,داخل المستشفى (IP),جراحات وإقامة
WE-037 استخدام جهاز الأشعة بغرفة العمليات,خارج المستشفى (OP),أشعة تخصصية (MRI/CT)
WE-038 تخطيط نبض الجنين,خارج المستشفى (OP),أشعة تخصصية (MRI/CT)
WE-041  تركيب او ازالة لولب  ,داخل المستشفى (IP),جراحات وإقامة
WE-042 جلسة كي واحدة بالعيادات الخارجية,داخل المستشفى (IP),جراحات وإقامة
WE-043 علاج تقرحات ملتهبة,داخل المستشفى (IP),جراحات وإقامة
WE-045 تنظيف حروق عميقة,خارج المستشفى (OP),كشوفات خارجية (OP)
WE-046 غيار جرح عادي,داخل المستشفى (IP),جراحات وإقامة
WE-047 غيار جرح متوسط,داخل المستشفى (IP),جراحات وإقامة
WE-048 غيار جرح فوق المتوسط,داخل المستشفى (IP),جراحات وإقامة
WE-049 غيار جرح كبير,داخل المستشفى (IP),جراحات وإقامة
WE-050 تنظيف جروح سطحية,داخل المستشفى (IP),جراحات وإقامة
WE-051 تنظيف جروح تحت السطحية,داخل المستشفى (IP),جراحات وإقامة
WE-052 تنظيف جروح عميقة,داخل المستشفى (IP),جراحات وإقامة
WE-053 غرز جرح عادي,داخل المستشفى (IP),جراحات وإقامة
WE-054 غرز جرح متوسط,داخل المستشفى (IP),جراحات وإقامة
WE-055 غرز جرح كبير,داخل المستشفى (IP),جراحات وإقامة
WE-056 غرز جروح عميقة,داخل المستشفى (IP),جراحات وإقامة
WE-057 إزالة غرز,داخل المستشفى (IP),جراحات وإقامة
WE-058 جبس تحت الركبة,أخرى,غير مصنف
